termID,termName,termDesc,unitName,dataType,measurementScale,relatedTerms,dateSubmitted,dateAccepted,submittedBy
1,uid,"Unique ID within NEON database; an identifier for the record",NA,string,nominal,NULL,NULL,NULL,NULL
2,domainID,"Unique identifier of the NEON domain",NA,string,nominal,"DWC_v2009-04-24:locationID [http://rs.tdwg.org/dwc/terms/history/index.htm#locationID-2009-04-24]",NULL,NULL,NULL
3,siteID,"NEON site code",NA,string,NULL,"DWC_v2009-04-24:locationID [http://rs.tdwg.org/dwc/terms/history/index.htm#locationID-2009-04-24]",NULL,NULL,NULL
4,plotID,"Plot identifier (NEON site code_XXX)",NA,string,NULL,NULL,NULL,NULL,NULL
5,date,"Date or date and time of measurement, observation, or collection event",NA,dateTime,NULL,"DWC_v2009-04-24:eventDate [http://rs.tdwg.org/dwc/terms/history/index.htm#eventDate-2009-04-24]",NULL,NULL,NULL
6,samplingProtocol,"The NEON document number where detailed information regarding the sampling method used is available; format NEON.DOC.######",NA,string,NULL,"DWC_v2009-04-24:samplingProtocol [http://rs.tdwg.org/dwc/terms/history/index.htm#samplingProtocol-2009-04-24]",NULL,NULL,NULL
7,identificationReferences,"A list of sources (concatenated and semicolon separated) used to derive the specific taxon concept; including field guide editions, books, or versions of NEON keys used",NA,string,NULL,NULL,NULL,NULL,NULL
8,remarks,"Technician notes; free text comments accompanying the record",NA,string,NULL,NULL,NULL,NULL,NULL
9,nightuid,"Unique ID of associated record in perplotnight table",NA,string,NULL,NULL,NULL,NULL,NULL
10,trapCoordinate,"Relative coordinate of the trap within the given plotID (A1 - J10). If row or column coordinate is unknown, X is used",NA,string,NULL,NULL,NULL,NULL,NULL
11,trapStatus,"Categorical descriptor of trap status; 0 - no data; 1 - trap not set; 2 - trap disturbed/door closed but empty; 3 - trap door open or closed w/ spoor left; 4 - >1 capture in one trap; 5 - capture; 6 - trap set and empty",NA,string,NULL,NULL,NULL,NULL,NULL
12,taxonID,"Species code, based on one or more sources",NA,string,NULL,NULL,NULL,NULL,NULL
13,identificationQualifier,"A standard term to express the determiner's doubts about the Identification",NA,string,NULL,NULL,NULL,NULL,NULL
14,sex,"M for male, F for female, U for unknown",NA,string,NULL,NULL,NULL,NULL,NULL
15,lifeStage,"The age class of the individual at the time the Occurrence was recorded. juvenile = obvious signs of a very young individual, small size, distinctive pelage coloration; subabult; adult",NA,string,NULL,NULL,NULL,NULL,NULL
16,testes,"Condition of the testes at time of capture; if mature: scrotal = testes descended, nonscrotal = testes abdominal",NA,string,NULL,NULL,NULL,NULL,NULL
17,nipples,"Condition of the nipples at time of capture; if mature: enlarged = nipples enlarged, nonenlarged = nipples not enlarged",NA,string,NULL,NULL,NULL,NULL,NULL
18,pregnancyStatus,"Condition at time of capture; if mature: 'pregnant' | 'not'",NA,string,NULL,NULL,NULL,NULL,NULL
19,vagina,"Condition of the vagina at time of capture; if mature: swollen, plugged, neither",NA,string,NULL,NULL,NULL,NULL,NULL
20,hindfootLength,"length of left hindfoot; including claws; in millimeters",millimeter,"unsigned integer",NULL,NULL,NULL,NULL,NULL
21,earLength,"length of left ear; in millimeters",millimeter,"unsigned integer",NULL,NULL,NULL,NULL,NULL
22,tailLength,"length of tail; in millimeters",millimeter,"unsigned integer",NULL,NULL,NULL,NULL,NULL
23,totalLength,"total length (head + body); in millimeters",millimeter,"unsigned integer",NULL,NULL,NULL,NULL,NULL
24,weight,"Live weight as measured with a spring scale; in grams",gram,"unsigned integer",NULL,NULL,NULL,NULL,NULL
25,tagID,"Domain-level unique identifier of tag used to mark the individual",NA,string,NULL,NULL,NULL,NULL,NULL
