unitName,unitDesc,unitAbbr,unitAbbrMathJax,unitType,parentSI,multiplierToSI,constantToSI,measScale,referenceURL,referenceCitation,startUseDateDPS
acre,"1 acre = 4046.8564 square meters",ac,"$$ ac $$",area,squareMeter,4046.86,NULL,ratio,NULL,NULL,2012-01-01
ampere,"SI base unit of electrical current, equal to a flow of one coulomb per second",A,"$$ A $$",current,coulombsPerSecond,1,NULL,interval,NULL,NULL,2012-01-01
amperesPerMeter,"amperes per meter",A/m,"$$ A{cdot}m^{-1} $$",magneticFieldStrength,NULL,1,NULL,interval,NULL,NULL,2016-03-08
amperesPerSquareMeter,"amperes per square meter",A/m^2,"$$ A{cdot}m^{-2} $$",currentDensity,NULL,1,NULL,interval,NULL,NULL,2016-03-08
angstrom,"0.00000000001 meters",A,"$$ overset{circ}{A} $$",length,meter,0.0000000001,NULL,ratio,NULL,NULL,2012-01-01
angularWavenumber,"The number of radians per distance unit, defined as the symbol k. 1 angular wavenumber or circular wavenumber k = 2*pi/lambda",k,"$$ k $$",NULL,NULL,NULL,NULL,ratio,https://en.wikipedia.org/wiki/Wavenumber,NULL,2016-04-26
arcMinute,"A unit of angular measurement equal to a 60th of a degree",arcmin,"$$ arcmin $$",angle,radian,0.000290888,NULL,ratio,NULL,NULL,NULL
arcSecond,"A unit of angular measurement equal to a 60th or an arcMinute and a 3600th of a degree",arcsec,"$$ arcsec $$",angle,radian,0.000004848,NULL,ratio,NULL,NULL,NULL
are,"100 square meters",a,"$$ are $$",area,squareMeter,100,NULL,ratio,NULL,NULL,2012-01-01
atmosphere,"1 atmosphere = 101325 pascals ",atm,"$$ atm $$",pressure,pascal,101325,NULL,ratio,NULL,NULL,2012-01-01
bar,"1 bar = 100000 pascals",bar,"$$ bar $$",pressure,pascal,100000,NULL,ratio,NULL,NULL,2012-01-01
becquerel,"SI derived unit of radioactivity, equivalent to an inverse second",Bq,"$$ Bq $$",radionucleotideActivity,becquerel,1,NULL,ratio,https://en.wikipedia.org/wiki/Becquerel,NULL,2012-01-01
britishThermalUnit,"1 BTU = 1055.0559 joules",BTU,"$$ BTU $$",energy,joule,1055.06,NULL,ratio,NULL,NULL,2012-01-01
bushel,"1 bushel = 35.23907 liters",bsh,"$$ bsh $$",volume,liter,0.035239,NULL,ratio,NULL,NULL,2012-01-01
bushelsPerAcre,"bushels per acre -- 1 bushel = 35.23907 liters/1 acre = 4046.8564 squareMeters",bsh/ac,"$$ bsh{cdot}ac^{-1} $$",volumetricArea,litersPerSquareMeter,0.0087,NULL,ratio,NULL,NULL,2012-01-01
calendarYear,"an approximation of the number of days of the Earth's orbital period as counted in a given calendar",y,"$$ y $$",time,second,NULL,NULL,ratio,NULL,NULL,2016-04-26
calorie,"1 calorie = 4.1868 Joules",cal,"$$ cal $$",energy,joule,4.1868,NULL,ratio,NULL,NULL,2012-01-01
candela,"SI unit of luminosity",cd,"$$ cd $$",luminosity,candela,1,NULL,ratio,NULL,NULL,2012-01-01
candelasPerSquareMeter,"candelas per square meter",cd/m^2,"$$ C{cdot}m^{-2} $$",luminance,candelasPerSquareMeter,1,NULL,ratio,NULL,NULL,2016-03-08
celsius,"a common unit of temperature, in degrees","deg C","$$ ^{circ}C $$",temperature,kelvin,1,273.15,interval,NULL,NULL,2012-01-01
celsiusSquared,"degrees celsius squared; typically used for variance","deg C^2","$$ ^{circ}C^2 $$",variance,NULL,NULL,NULL,interval,NULL,NULL,2012-01-01
